set_id,regression,F0.5,ROC-AUC,PR-AUC,Prec,Rec,Acc,reasoning_experiment
set_01,LLM Engineered Only,0.2319693689943874,0.676484850794695,0.1790797129518155,0.236478335403972,0.2171518987341772,0.8661363636363637,
set_01,LLM Engineered + Reasoning,0.2763941594505938,0.7051742947403562,0.2117241502471488,0.3091834397656787,0.1944303797468354,0.8884090909090909,A
set_01,LLM Engineered + Reasoning,0.2293559261199926,0.6684642314442785,0.1765218951533372,0.2206796507298834,0.2726582278481012,0.8477272727272727,B
set_01,LLM Engineered + Reasoning,0.2297131942876372,0.6823341990431264,0.1834162466637579,0.2088317080434572,0.3837658227848101,0.8131818181818182,E
set_01,LLM Engineered + Reasoning,0.2707988419676602,0.7006097604458035,0.2132221111923491,0.2712858073412258,0.2702215189873417,0.8690909090909091,A+B
set_01,LLM Engineered + Reasoning,0.292711326989757,0.7181497125823733,0.2201913768990426,0.3145903038897032,0.2324367088607595,0.885909090909091,A+E
set_01,LLM Engineered + Reasoning,0.2248735632183907,0.673178012724403,0.1791887104713238,0.2309326974032856,0.2045569620253164,0.8672727272727272,B+E
set_01,LLM Engineered + Reasoning,0.2797594496340585,0.7114126373382165,0.2151299527714924,0.2842225442175661,0.2652848101265823,0.8745454545454546,A+B+E
set_02,LLM Engineered Only,0.2002604712918421,0.6361615575714297,0.1674417980108495,0.213246140651801,0.1641455696202531,0.8697727272727273,
set_02,LLM Engineered + Reasoning,0.26446279895668,0.6683734454015156,0.2030261060878902,0.2756299438266651,0.2297784810126582,0.8768181818181819,A
set_02,LLM Engineered + Reasoning,0.1888914208336338,0.624647015745745,0.1616973699352223,0.17860586364262,0.250126582278481,0.8272727272727274,B
set_02,LLM Engineered + Reasoning,0.2006261285110473,0.6429045498407844,0.169497855666376,0.1938197269511626,0.2399367088607595,0.8390909090909091,E
set_02,LLM Engineered + Reasoning,0.2391452925384272,0.6607462439158331,0.1995349994649898,0.2562015039438798,0.1893987341772152,0.8781818181818182,A+B
set_02,LLM Engineered + Reasoning,0.2468365508929007,0.6846567444620254,0.2101177177063914,0.2360715627247067,0.3057278481012658,0.8493181818181817,A+E
set_02,LLM Engineered + Reasoning,0.1972283183051433,0.6337892127275637,0.1642926381547806,0.1907338989235541,0.2348734177215189,0.8381818181818181,B+E
set_02,LLM Engineered + Reasoning,0.2395054631689485,0.6767891168723036,0.2030996440461448,0.2301012494752922,0.2880696202531645,0.8495454545454544,A+B+E
set_03,LLM Engineered Only,0.2126839558055428,0.6629578409454558,0.1745918755236768,0.2732858539310152,0.1135443037974683,0.8922727272727273,
set_03,LLM Engineered + Reasoning,0.2624993750730184,0.6922535262735268,0.2084148494780604,0.2695795097992947,0.239873417721519,0.8724999999999999,A
set_03,LLM Engineered + Reasoning,0.2020834369391848,0.6551976887079443,0.1705024118337974,0.18577729559317,0.3156645569620253,0.8109090909090909,B
set_03,LLM Engineered + Reasoning,0.2089133811832043,0.6670077536090171,0.1770474553184301,0.1942355830167742,0.3004430379746835,0.823409090909091,E
set_03,LLM Engineered + Reasoning,0.2482710423015658,0.6886435264858799,0.2062587155131085,0.2484287915065947,0.25,0.864090909090909,A+B
