combo,model,variant,rank,feature,mean,std
A,logistic,full_hq_no_rule,1,exit_count,0.7887353693813128,0.16073969926421566
A,logistic,full_mirror_rule,1,exit_count,0.7887353693813128,0.16073969926421566
A,logistic,full_hq_no_rule,2,has_prior_ipo,0.6190447726080663,0.25606983727580396
A,logistic,full_mirror_rule,2,has_prior_ipo,0.6190447726080663,0.25606983727580396
A,logistic,full_hq_no_rule,3,A_scrappiness,-0.5340073849261227,0.05352704770924468
A,logistic,full_mirror_rule,3,A_scrappiness,-0.5340073849261227,0.05352704770924468
A,logistic,full_hq_no_rule,4,industry_alignment,0.446540890597854,0.06919753866136924
A,logistic,full_mirror_rule,4,industry_alignment,0.446540890597854,0.06919753866136924
A,logistic,full_hq_no_rule,5,is_serial_founder,-0.3043284700717851,0.1350110287726242
A,logistic,full_mirror_rule,5,is_serial_founder,-0.3043284700717851,0.1350110287726242
A,logistic,full_hq_no_rule,6,A_career_coherence,0.23224653967795222,0.022110195857882892
A,logistic,full_mirror_rule,6,A_career_coherence,0.23224653967795222,0.022110195857882892
A,logistic,full_hq_no_rule,7,A_ownership_signal,-0.21232247646381514,0.03488007218800476
A,logistic,full_mirror_rule,7,A_ownership_signal,-0.21232247646381514,0.03488007218800476
A,logistic,full_hq_no_rule,8,persistence_score,0.21073350817077294,0.09015481765488499
A,logistic,full_mirror_rule,8,persistence_score,0.21073350817077294,0.09015481765488499
A,logistic,full_hq_no_rule,9,max_seniority_reached,0.1871557793305602,0.009903928891099987
A,logistic,full_mirror_rule,9,max_seniority_reached,0.1871557793305602,0.009903928891099987
A,logistic,full_hq_no_rule,10,A_evidence_support_rating,0.18399523466464612,0.041265325523412326
A,logistic,full_mirror_rule,10,A_evidence_support_rating,0.18399523466464612,0.041265325523412326
A,logistic,full_hq_no_rule,11,has_prior_acquisition,0.16969059677325973,0.1264576191123336
A,logistic,full_mirror_rule,11,has_prior_acquisition,0.16969059677325973,0.1264576191123336
A,logistic,full_hq_no_rule,12,best_degree_prestige,0.14274194451164096,0.026741863491049508
A,logistic,full_mirror_rule,12,best_degree_prestige,0.14274194451164096,0.026741863491049508
A,logistic,full_hq_no_rule,13,edu_prestige_tier,0.14274194451164096,0.026741863491049508
A,logistic,full_mirror_rule,13,edu_prestige_tier,0.14274194451164096,0.026741863491049508
A,logistic,full_hq_no_rule,14,exit_x_serial,0.10345475902673822,0.036214392147812115
A,logistic,full_mirror_rule,14,exit_x_serial,0.10345475902673822,0.036214392147812115
A,logistic,full_hq_no_rule,15,degree_level,-0.07154897331984124,0.019545505490376053
A,logistic,full_mirror_rule,15,degree_level,-0.07154897331984124,0.019545505490376053
A,logistic,full_hq_no_rule,16,stem_flag,0.06420644899453021,0.10374694867714822
A,logistic,full_mirror_rule,16,stem_flag,0.06420644899453021,0.10374694867714822
A,logistic,full_hq_no_rule,17,industry_prestige_penalty,0.06263785832663414,0.028351386242539113
A,logistic,full_mirror_rule,17,industry_prestige_penalty,0.06263785832663414,0.028351386242539113
A,logistic,full_hq_no_rule,18,seniority_is_monotone,-0.04924817381384749,0.030416206548831197
A,logistic,full_mirror_rule,18,seniority_is_monotone,-0.04924817381384749,0.030416206548831197
A,logistic,full_hq_no_rule,19,field_relevance_score,0.041638909131357975,0.025073325326728152
A,logistic,full_mirror_rule,19,field_relevance_score,0.041638909131357975,0.025073325326728152
A,logistic,full_hq_no_rule,20,industry_pivot_count,-0.03415518516865941,0.010390177201582255
A,logistic,full_mirror_rule,20,industry_pivot_count,-0.03415518516865941,0.010390177201582255
