family_id,family_label,family_display_label,route_group,feature_name,feature_group,coefficient_mean,coefficient_std,abs_coefficient_mean,positive_rate,negative_rate,sign_flip_rate,dominant_sign
HQ,HQ,HQ,hq_only,best_degree_prestige,hq,0.14509148175099293,0.04363188157932035,0.14509148175099293,1.0,0.0,0.0,positive
HQ,HQ,HQ,hq_only,comfort_index,hq,0.05603005907393025,0.041841269140594564,0.065596711893537,0.8888888888888888,0.1111111111111111,0.1111111111111111,positive
HQ,HQ,HQ,hq_only,company_size_is_growing,hq,0.02171863180805971,0.05276169881264695,0.049560336374539576,0.7777777777777778,0.2222222222222222,0.2222222222222222,positive
HQ,HQ,HQ,hq_only,degree_level,hq,-0.09114276752032387,0.03858379068070872,0.09114276752032387,0.0,1.0,0.0,negative
HQ,HQ,HQ,hq_only,edu_prestige_tier,hq,0.14509148175099293,0.04363188157932035,0.14509148175099293,1.0,0.0,0.0,positive
HQ,HQ,HQ,hq_only,exit_count,hq,0.09031099682549669,0.03187634767335445,0.09031099682549669,1.0,0.0,0.0,positive
HQ,HQ,HQ,hq_only,exit_x_serial,hq,0.034080844895070336,0.07489999746978089,0.059190774832019316,0.6666666666666666,0.3333333333333333,0.3333333333333333,positive
HQ,HQ,HQ,hq_only,field_relevance_score,hq,-0.0095367157323077,0.04317842313049455,0.03478303437695893,0.4444444444444444,0.5555555555555556,0.4444444444444444,negative
HQ,HQ,HQ,hq_only,founding_role_count,hq,-0.02201117139754779,0.13101070222338584,0.10831446806438891,0.5555555555555556,0.4444444444444444,0.4444444444444444,positive
HQ,HQ,HQ,hq_only,founding_timing,hq,0.016399993339727338,0.12306327116642973,0.10506302479084413,0.5555555555555556,0.4444444444444444,0.4444444444444444,positive
HQ,HQ,HQ,hq_only,has_prior_acquisition,hq,0.07249538774314687,0.03729443716985746,0.07249538774314687,1.0,0.0,0.0,positive
HQ,HQ,HQ,hq_only,has_prior_ipo,hq,0.07160291715426131,0.021181654438962014,0.07160291715426131,1.0,0.0,0.0,positive
HQ,HQ,HQ,hq_only,industry_alignment,hq,0.20167550674146206,0.037032360462688096,0.20167550674146206,1.0,0.0,0.0,positive
HQ,HQ,HQ,hq_only,industry_pivot_count,hq,-0.07007150476551499,0.036805435205318496,0.07007150476551499,0.0,1.0,0.0,negative
HQ,HQ,HQ,hq_only,industry_prestige_penalty,hq,0.08316692345978981,0.02969969865942905,0.08316692345978981,1.0,0.0,0.0,positive
HQ,HQ,HQ,hq_only,is_serial_founder,hq,-0.17398345676713226,0.10556650935684411,0.17398345676713226,0.0,1.0,0.0,negative
HQ,HQ,HQ,hq_only,longest_founding_tenure,hq,-0.11309872683412421,0.11967186272934201,0.14109397152209913,0.2222222222222222,0.7777777777777778,0.2222222222222222,negative
HQ,HQ,HQ,hq_only,max_company_size_before_founding,hq,0.06878444208499722,0.07841344575326241,0.09521533677365562,0.7777777777777778,0.2222222222222222,0.2222222222222222,positive
HQ,HQ,HQ,hq_only,max_seniority_reached,hq,0.214765652151775,0.0740683489879988,0.214765652151775,1.0,0.0,0.0,positive
HQ,HQ,HQ,hq_only,persistence_score,hq,0.013029260708031275,0.09847727505941939,0.0720962101755745,0.5555555555555556,0.4444444444444444,0.4444444444444444,positive
HQ,HQ,HQ,hq_only,prestige_sacrifice_score,hq,0.1185749509785995,0.09925703453820899,0.12110855040388777,0.8888888888888888,0.1111111111111111,0.1111111111111111,positive
