,top_university,has_phd,has_mba,stem_degree,prior_exit,multiple_exits,senior_leadership,large_company_exp,startup_exp,long_experience,serial_founder,technical_role,many_prior_roles,short_tenure_pattern,industry_match,qs_top_25,qs_top_50,qs_top_100,qs_top_200,qs_inverse_best,prior_ipos,prior_acquisitions,large_company_years,experience_duration,technical_experience_duration
top_university,1.0,0.19568793115902244,0.09246756437682545,0.21310919262128095,0.07448046701613692,0.03119059925075691,-0.011543411038680765,0.14595983007265836,0.007432079335420582,0.013547152274965595,0.016818368004020173,0.03548707019232613,0.042221463098861295,0.05158748870348753,0.011022474830346572,0.7566301250974743,1.0,0.866247059377644,0.7136295233071804,0.5054450894634336,0.04192474603547319,0.06684601387018323,0.08001781774030639,0.03305849873240227,0.012531482325593831
has_phd,0.19568793115902244,1.0,-0.09941307984076535,0.31230333028175117,-0.009813084852499043,-0.019838611224045104,-0.021967431556451908,0.168887169396312,-0.05067184697705159,0.0320150056824973,-0.058747594069964444,0.09558166548302217,-0.009255857652836,-0.022218965403988072,0.02223416931066543,0.17752473104450342,0.1956879311590225,0.19815653797108057,0.19691720255252046,0.08660396023582347,0.005742801409119198,-0.01648516355548307,0.14067004685571452,0.028710865706081126,0.047085277106901594
has_mba,0.09246756437682545,-0.09941307984076535,1.0,0.02882563925782971,0.012168983496663266,-0.012354234682918293,0.05260771485194982,0.1306486531160238,0.023578783614982973,0.10451817088348367,-0.00950766525744385,-0.006120289699169479,0.12141528329376307,0.03172559829709343,0.021649601499358576,0.0685297132040618,0.09246756437682549,0.08509750184020595,0.09026117804172566,0.10514403908408518,0.013459999476212486,0.009686864728289247,0.09210583583433334,0.07932514810432269,-0.009994852541614316
stem_degree,0.21310919262128095,0.31230333028175117,0.02882563925782971,1.0,0.03852806455237813,-0.00015731238329446775,-0.05998385153862178,0.20262201863552526,0.025343000119375115,0.07469629970020192,-0.005347805521894199,0.23979855358929889,0.07118794940999426,0.054280551618870146,0.0841542462854217,0.1890507072709246,0.21310919262128097,0.2177766330968886,0.2474908784970992,0.0989798248476861,-0.00672306647611519,0.041934379084486675,0.13156994004613423,0.04593322709812276,0.17671519062513205
prior_exit,0.07448046701613692,-0.009813084852499043,0.012168983496663266,0.03852806455237813,1.0,0.43835660930234255,0.11111717269527052,0.027685342375970003,0.068130526789326,0.06331313001554582,0.19013546333846035,0.028787681623005386,0.08003897278951352,-0.03832495101939166,0.05364836870910615,0.08764820203661818,0.07448046701613689,0.06646684399400182,0.04835387823106068,0.0435286996828775,0.3793311930169221,0.9517083784274445,0.012865517050328942,0.07322360094710824,0.028321450656114276
multiple_exits,0.03119059925075691,-0.019838611224045104,-0.012354234682918293,-0.00015731238329446775,0.43835660930234255,1.0,0.049943515738180615,-0.005802884091607459,0.03984798177017971,0.024932519276866114,0.13441084051244415,-0.010915941659245258,0.04474813271673369,-0.02419413730509805,0.023517117001925558,0.0333798776297118,0.03119059925075692,0.025451320128265006,0.021277363697541875,0.040616178515381546,0.4506976874397692,0.4097932961660103,0.013948813897556308,0.057744148213131674,0.014456599793819684
senior_leadership,-0.011543411038680765,-0.021967431556451908,0.05260771485194982,-0.05998385153862178,0.11111717269527052,0.049943515738180615,1.0,-0.01661328458873547,0.17936618251353476,0.3026078108963041,0.2626006115473037,0.2846528473296752,0.33555590051924206,-0.04973592586269241,0.09387590525804582,0.0018409649555724225,-0.011543411038680763,-0.015171118749430742,-0.019423309857791657,-0.0015028733636043368,0.03599458221899094,0.10843149474077161,0.05882911962771529,0.281776352681051,0.1994272242428533
large_company_exp,0.14595983007265836,0.168887169396312,0.1306486531160238,0.20262201863552526,0.027685342375970003,-0.005802884091607459,-0.01661328458873547,1.0,-0.0051653864085516935,0.22967833542354277,-0.05041120989312164,0.19874487706101415,0.3020258837476623,0.10908046729343719,0.14867008320613428,0.1374631621085994,0.14595983007265834,0.15130599969174058,0.17179124998969542,0.10443129588459206,0.013100754326861743,0.024794124178914363,0.48792857132307926,0.20601564794175142,0.17836496078952346
startup_exp,0.007432079335420582,-0.05067184697705159,0.023578783614982973,0.025343000119375115,0.068130526789326,0.03984798177017971,0.17936618251353476,-0.0051653864085516935,1.0,0.1697073176841272,0.17584451363441755,0.09675905173595312,0.23364846992829771,0.09963023349456138,0.14675481211259758,0.0118914219741685,0.007432079335420581,0.0076790870970405945,0.010266831083176435,-0.006659384362978411,0.030831654772905743,0.06414736554121939,-0.04456727532996742,0.1539122777462534,0.0685228031798334
long_experience,0.013547152274965595,0.0320150056824973,0.10451817088348367,0.07469629970020192,0.06331313001554582,0.024932519276866114,0.3026078108963041,0.22967833542354277,0.1697073176841272,1.0,0.16698047025371326,0.23775480810080063,0.5187048583342557,-0.21009653471407674,0.20102938916032184,-0.0019201208126601076,0.013547152274965599,0.026496251572447484,0.05121004220987524,-0.004798633236389771,0.0071307839124327066,0.0642440599342129,0.28723885047657577,0.5680247006362823,0.31000299454484115
serial_founder,0.016818368004020173,-0.058747594069964444,-0.00950766525744385,-0.005347805521894199,0.19013546333846035,0.13441084051244415,0.2626006115473037,-0.05041120989312164,0.17584451363441755,0.16698047025371326,1.0,0.03769537936036592,0.22971637784675647,-0.017207291196077827,0.06220709788765769,0.02112989177942942,0.01681836800402018,0.021467959958147466,0.01518588280763854,0.024053657859525658,0.08183593728853228,0.17635238014347293,-0.04602119709184016,0.20902324280050633,0.016250841260505234
technical_role,0.03548707019232613,0.09558166548302217,-0.006120289699169479,0.23979855358929889,0.028787681623005386,-0.010915941659245258,0.2846528473296752,0.19874487706101415,0.09675905173595312,0.23775480810080063,0.03769537936036592,1.0,0.3329777771992166,0.07359235910195494,0.1098724379760479,0.04613090623975129,0.03548707019232615,0.048507049322594795,0.054774834784855966,0.02000889352814484,-0.0143477782755964,0.032642109115248,0.1583700969311218,0.20307400414146504,0.5685189310968601
many_prior_roles,0.042221463098861295,-0.009255857652836,0.12141528329376307,0.07118794940999426,0.08003897278951352,0.04474813271673369,0.33555590051924206,0.3020258837476623,0.23364846992829771,0.5187048583342557,0.22971637784675647,0.3329777771992166,1.0,0.12409014647692729,0.20637670185073398,0.027213030093108093,0.04222146309886131,0.04554658211178243,0.0460036675110774,0.00862889568659744,0.030545553334086487,0.07320088509862796,0.25767459226171935,0.4758150896403027,0.27977330112543564
short_tenure_pattern,0.05158748870348753,-0.022218965403988072,0.03172559829709343,0.054280551618870146,-0.03832495101939166,-0.02419413730509805,-0.04973592586269241,0.10908046729343719,0.09963023349456138,-0.21009653471407674,-0.017207291196077827,0.07359235910195494,0.12409014647692729,1.0,0.00734272843693003,0.039566571519979186,0.05158748870348755,0.057151724219582,0.05418417345670436,0.010556142532960175,-0.029256763301324075,-0.031458121540376104,-0.15590550332692876,-0.2762038813676664,-0.11568017321707427
industry_match,0.011022474830346572,0.02223416931066543,0.021649601499358576,0.0841542462854217,0.05364836870910615,0.023517117001925558,0.09387590525804582,0.14867008320613428,0.14675481211259758,0.20102938916032184,0.06220709788765769,0.1098724379760479,0.20637670185073398,0.00734272843693003,1.0,0.024607026584650617,0.01102247483034656,0.016315155111726473,0.027708285413119243,0.016820997688481523,0.0101457695212742,0.05244689928986227,0.12132925186907262,0.18100048694335077,0.109868280823604
