set_id,regression,F0.5,ROC-AUC,PR-AUC,Prec,Rec,Acc,reasoning_experiment
set_01,LLM Engineered Only,0.2327727953292979,0.6426902483693249,0.1775665501734359,0.240663236339286,0.2069620253164557,0.8697727272727273,
set_01,LLM Engineered + Reasoning,0.2757992500031958,0.6848414521405205,0.2185571339552634,0.2876583319820833,0.2449683544303797,0.8754545454545454,A
set_01,LLM Engineered + Reasoning,0.2280348118084534,0.6307493585204017,0.1726258814580371,0.2359825369005638,0.2018670886075949,0.8693181818181819,B
set_01,LLM Engineered + Reasoning,0.2396370032197495,0.6463239307274135,0.1812096423672838,0.2325489166374917,0.2752215189873417,0.8522727272727273,E
set_01,LLM Engineered + Reasoning,0.2700145573380867,0.6769929222668658,0.2121854703479083,0.2874051032412216,0.2221835443037974,0.8793181818181818,A+B
set_01,LLM Engineered + Reasoning,0.2758009033249965,0.6978268658688112,0.2256428905533806,0.2744362829524119,0.290506329113924,0.8663636363636364,A+E
set_01,LLM Engineered + Reasoning,0.2332467828242698,0.6372649849278591,0.1755791116333454,0.2253082908717462,0.2726898734177215,0.8502272727272727,B+E
set_01,LLM Engineered + Reasoning,0.2723235588316389,0.690023068227611,0.2196128644630767,0.2970685969650343,0.2121835443037974,0.8829545454545453,A+B+E
set_02,LLM Engineered Only,0.2348856089307748,0.6706305410118285,0.1822281022826195,0.2284752414462953,0.2675949367088607,0.8506818181818181,
set_02,LLM Engineered + Reasoning,0.2835898694046851,0.7051080608051249,0.2162406773335579,0.2811716710935435,0.295379746835443,0.8688636363636364,A
set_02,LLM Engineered + Reasoning,0.226165934501733,0.6603644542176313,0.1780360086933185,0.2320301358465805,0.2070569620253164,0.8663636363636364,B
set_02,LLM Engineered + Reasoning,0.2371220067903041,0.6746168498830576,0.1867751002317085,0.2542404340996468,0.1893354430379747,0.8759090909090907,E
set_02,LLM Engineered + Reasoning,0.278212759025624,0.6987383574872785,0.2129363433992577,0.2743562610229276,0.2954113924050632,0.8663636363636364,A+B
set_02,LLM Engineered + Reasoning,0.2909992176798183,0.7148800365247554,0.2262224289817914,0.3039454301523266,0.2525632911392405,0.8809090909090909,A+E
set_02,LLM Engineered + Reasoning,0.2218089325366736,0.665283384767261,0.1812778157076551,0.2145318721118578,0.2575632911392405,0.8484090909090909,B+E
set_02,LLM Engineered + Reasoning,0.2920237472703556,0.7066378403824729,0.2186081121095719,0.3176638749341379,0.2222468354430379,0.8870454545454546,A+B+E
set_03,LLM Engineered Only,0.2285637925825404,0.6608318798742474,0.1771691928420846,0.2157383125336345,0.3029113924050633,0.8384090909090908,
set_03,LLM Engineered + Reasoning,0.2705964420595648,0.6911950817757472,0.2141845580073717,0.2778733184378346,0.2474683544303797,0.8747727272727273,A
set_03,LLM Engineered + Reasoning,0.2185106201871579,0.651709540018213,0.1772451788432477,0.2015530695481471,0.3331962025316455,0.8211363636363636,B
set_03,LLM Engineered + Reasoning,0.2245711963664277,0.6647985802952007,0.1820513900154972,0.2101573246647783,0.3130696202531645,0.8324999999999999,E
set_03,LLM Engineered + Reasoning,0.2639307962061057,0.6864496368512856,0.212586727580232,0.2521107886570086,0.328386075949367,0.8518181818181818,A+B
set_03,LLM Engineered + Reasoning,0.2791919532193997,0.7048278019514769,0.225202524257776,0.2806807645967436,0.277879746835443,0.8718181818181818,A+E
set_03,LLM Engineered + Reasoning,0.2269691057727468,0.6553807109684888,0.1762386649960726,0.2537043270293704,0.1615822784810126,0.8818181818181818,B+E
set_03,LLM Engineered + Reasoning,0.2814318160923251,0.6977335929475024,0.2188554871764588,0.2834688230080476,0.2753481012658228,0.8724999999999999,A+B+E
set_04,LLM Engineered Only,0.2275283071845369,0.6694245341562761,0.1815368541256171,0.2196935934992367,0.2676582278481013,0.8488636363636364,
set_04,LLM Engineered + Reasoning,0.2777279300498305,0.6954668457841464,0.2178218680138098,0.2803677458444192,0.2702215189873418,0.871590909090909,A
set_04,LLM Engineered + Reasoning,0.2208051071961101,0.6632497391512192,0.177223414753958,0.235760582010582,0.1768037974683544,0.8747727272727271,B
set_04,LLM Engineered + Reasoning,0.2186597661595667,0.6772783295751751,0.183984606643556,0.2601609907120742,0.1363924050632911,0.8872727272727273,E
set_04,LLM Engineered + Reasoning,0.2657924393704997,0.6903092822312695,0.2090943067358076,0.2681786075100391,0.2576582278481013,0.8702272727272728,A+B
