track,feature_set_id,feature_set_label,grouping_spec_id,grouping_spec_label,grouping_scope_id,grouping_scope_label,feature_a,feature_b,same_cluster_frequency,split_count,expected_split_count
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_career_coherence,A_evidence_support_rating,1.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_career_coherence,A_ownership_signal,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_career_coherence,A_scrappiness,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_career_coherence,A_trajectory_strength,1.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_evidence_support_rating,A_ownership_signal,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_evidence_support_rating,A_scrappiness,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_evidence_support_rating,A_trajectory_strength,1.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_ownership_signal,A_scrappiness,1.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_ownership_signal,A_trajectory_strength,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_scrappiness,A_trajectory_strength,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_career_coherence,A_evidence_support_rating,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_career_coherence,A_ownership_signal,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_career_coherence,A_scrappiness,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_career_coherence,A_trajectory_strength,1.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_evidence_support_rating,A_ownership_signal,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_evidence_support_rating,A_scrappiness,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_evidence_support_rating,A_trajectory_strength,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_ownership_signal,A_scrappiness,1.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_ownership_signal,A_trajectory_strength,0.0,48,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_scrappiness,A_trajectory_strength,0.0,48,48
