track,feature_set_id,feature_set_label,grouping_spec_id,grouping_spec_label,grouping_scope_id,grouping_scope_label,cluster_id,cluster_name,cluster_signature,original_feature,source_family_id,source_family_label,feature_group,target_correlation,outer_split_id,repeat_index,fold_index
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,1,A_grp_1,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_trajectory_strength,reasoning_A,A,reasoning,0.028805007819677573,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,1,A_grp_1,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_career_coherence,reasoning_A,A,reasoning,0.059781994964389754,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,1,A_grp_1,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_evidence_support_rating,reasoning_A,A,reasoning,0.14037924878385155,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,2,A_grp_2,A_ownership_signal | A_scrappiness,A_ownership_signal,reasoning_A,A,reasoning,-0.042292438149415655,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,2,A_grp_2,A_ownership_signal | A_scrappiness,A_scrappiness,reasoning_A,A,reasoning,-0.04467972720359393,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,1,A_grp_1,A_ownership_signal | A_scrappiness,A_ownership_signal,reasoning_A,A,reasoning,-0.042292438149415655,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,1,A_grp_1,A_ownership_signal | A_scrappiness,A_scrappiness,reasoning_A,A,reasoning,-0.04467972720359393,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,2,A_grp_2,A_career_coherence | A_trajectory_strength,A_trajectory_strength,reasoning_A,A,reasoning,0.028805007819677573,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,2,A_grp_2,A_career_coherence | A_trajectory_strength,A_career_coherence,reasoning_A,A,reasoning,0.059781994964389754,repeat_01_fold_01,1,1
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,3,A_grp_3,A_evidence_support_rating,A_evidence_support_rating,reasoning_A,A,reasoning,0.14037924878385155,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_2,2 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_scrappiness | F_trajectory_strength,F_trajectory_strength,reasoning_F,F,reasoning,-0.002812363013576644,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_2,2 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_scrappiness | F_trajectory_strength,F_ownership_signal,reasoning_F,F,reasoning,-0.0028414233438181957,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_2,2 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_scrappiness | F_trajectory_strength,F_career_coherence,reasoning_F,F,reasoning,-0.017794121185834205,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_2,2 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_scrappiness | F_trajectory_strength,F_scrappiness,reasoning_F,F,reasoning,0.0012195888823017908,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_2,2 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_scrappiness | F_trajectory_strength,F_rubric_score,reasoning_F,F,reasoning,-0.006754520619861545,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_2,2 groups per family,reasoning_F,F,2,F_grp_2,F_evidence_support_rating,F_evidence_support_rating,reasoning_F,F,reasoning,0.03237348491893182,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_3,3 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_trajectory_strength,F_trajectory_strength,reasoning_F,F,reasoning,-0.002812363013576644,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_3,3 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_trajectory_strength,F_ownership_signal,reasoning_F,F,reasoning,-0.0028414233438181957,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_3,3 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_trajectory_strength,F_career_coherence,reasoning_F,F,reasoning,-0.017794121185834205,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_3,3 groups per family,reasoning_F,F,1,F_grp_1,F_career_coherence | F_ownership_signal | F_rubric_score | F_trajectory_strength,F_rubric_score,reasoning_F,F,reasoning,-0.006754520619861545,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_3,3 groups per family,reasoning_F,F,2,F_grp_2,F_evidence_support_rating,F_evidence_support_rating,reasoning_F,F,reasoning,0.03237348491893182,repeat_01_fold_01,1,1
augmentation,hq_plus_f,HQ + F,per_family_3,3 groups per family,reasoning_F,F,3,F_grp_3,F_scrappiness,F_scrappiness,reasoning_F,F,reasoning,0.0012195888823017908,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_A,A,1,A_grp_1,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_trajectory_strength,reasoning_A,A,reasoning,0.028805007819677573,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_A,A,1,A_grp_1,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_career_coherence,reasoning_A,A,reasoning,0.059781994964389754,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_A,A,1,A_grp_1,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_evidence_support_rating,reasoning_A,A,reasoning,0.14037924878385155,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_A,A,2,A_grp_2,A_ownership_signal | A_scrappiness,A_ownership_signal,reasoning_A,A,reasoning,-0.042292438149415655,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_A,A,2,A_grp_2,A_ownership_signal | A_scrappiness,A_scrappiness,reasoning_A,A,reasoning,-0.04467972720359393,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_B,B,1,B_grp_1,B_rubric_score,B_rubric_score,reasoning_B,B,reasoning,0.022387954890812863,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_B,B,2,B_grp_2,B_evidence_support_rating,B_evidence_support_rating,reasoning_B,B,reasoning,0.035874896727960966,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_C,C,1,C_grp_1,C_evidence_support_rating | C_latent_strength,C_evidence_support_rating,reasoning_C,C,reasoning,0.02327504751321245,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_C,C,1,C_grp_1,C_evidence_support_rating | C_latent_strength,C_latent_strength,reasoning_C,C,reasoning,0.03361634782056041,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_C,C,2,C_grp_2,C_latent_risk,C_latent_risk,reasoning_C,C,reasoning,0.0008997278982156371,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_D,D,1,D_grp_1,D_evidence_support_rating,D_evidence_support_rating,reasoning_D,D,reasoning,0.03695637244862078,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_D,D,2,D_grp_2,D_overall_founder_quality,D_overall_founder_quality,reasoning_D,D,reasoning,0.06570956348086211,repeat_01_fold_01,1,1
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,per_family_2,2 groups per family,reasoning_E,E,1,E_grp_1,E_evidence_support_rating | E_hidden_upside,E_hidden_upside,reasoning_E,E,reasoning,0.020779701114948305,repeat_01_fold_01,1,1
