track,feature_set_id,feature_set_label,grouping_spec_id,grouping_spec_label,grouping_scope_id,grouping_scope_label,cluster_signature,representative_cluster_name,original_feature,source_family_id,source_family_label,feature_group,weight_mean,weight_std,abs_weight_mean,weight_sign_flip_rate,loading_mean,loading_std,abs_loading_mean,loading_sign_flip_rate,split_count
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_grp_1,A_career_coherence,reasoning_A,A,reasoning,0.33003637768337457,0.05798667804729441,0.33003637768337457,0.0,0.6739510291349572,0.03527735549285174,0.6739510291349572,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_grp_1,A_evidence_support_rating,reasoning_A,A,reasoning,0.9261881327960803,0.02893937259671531,0.9261881327960803,0.0,0.7365328067363323,0.06005401991203387,0.7365328067363323,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_career_coherence | A_evidence_support_rating | A_trajectory_strength,A_grp_1,A_trajectory_strength,reasoning_A,A,reasoning,0.1501936423477215,0.08058200639359246,0.15705761981570707,0.08333333333333333,0.6520685234167733,0.028808543220802892,0.6520685234167733,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_ownership_signal | A_scrappiness,A_grp_2,A_ownership_signal,reasoning_A,A,reasoning,0.6206381462693455,0.0896478461729385,0.6206381462693455,0.0,0.7051170652408046,0.005042134864300095,0.7051170652408046,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_2,2 groups per family,reasoning_A,A,A_ownership_signal | A_scrappiness,A_grp_2,A_scrappiness,reasoning_A,A,reasoning,0.7760809319832438,0.06685762547320569,0.7760809319832438,0.0,0.7231056146342528,0.020086574867623837,0.7231056146342528,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_career_coherence | A_trajectory_strength,A_grp_2,A_career_coherence,reasoning_A,A,reasoning,0.9037169787637457,0.04667350023873785,0.9037169787637457,0.0,0.8078778549174214,0.14517075851878156,0.8078778549174214,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_career_coherence | A_trajectory_strength,A_grp_2,A_trajectory_strength,reasoning_A,A,reasoning,0.37474907149552483,0.20169367883705472,0.40897196134897545,0.08333333333333333,0.7492022810268436,0.07454451413394632,0.7492022810268436,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_evidence_support_rating,A_grp_3,A_evidence_support_rating,reasoning_A,A,reasoning,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_ownership_signal | A_scrappiness,A_grp_1,A_ownership_signal,reasoning_A,A,reasoning,0.6206381462693455,0.0896478461729385,0.6206381462693455,0.0,0.7051170652408046,0.005042134864300095,0.7051170652408046,0.0,48
augmentation,hq_plus_a,HQ + A,per_family_3,3 groups per family,reasoning_A,A,A_ownership_signal | A_scrappiness,A_grp_1,A_scrappiness,reasoning_A,A,reasoning,0.7760809319832438,0.06685762547320569,0.7760809319832438,0.0,0.7231056146342528,0.020086574867623837,0.7231056146342528,0.0,48
